"short id","full name","party","state","state","distinct","canonical URL","url1","url2"
"cummings","Cummings, Elijah E.","D"," Maryland","MD",7,"http://house.gov/cummings/","gov.house.www/cummings",
"cunningham","Cunningham, Randy ""Duke""","R"," California","CA",50,"http://www.house.gov/cunningham/","gov.house.www/cunningham",
"arturdavis","Davis, Artur","D"," Alabama","AL",7,"http://www.house.gov/arturdavis/",,
"davis","Davis, Danny K.","D"," Illinois","IL",7,"http://house.gov/davis/","gov.house.www/davis",
"jimdavis","Davis, Jim","D"," Florida","FL",11,"http://house.gov/jimdavis/",,
"joanndavis","Davis, Jo Ann","R"," Virginia","VA",1,"http://house.gov/joanndavis/",,
"lincolndavis","Davis, Lincoln","D"," Tennessee","TN",4,"http://www.house.gov/lincolndavis/",,
"susandavis","Davis, Susan A.","D"," California","CA",53,"http://house.gov/susandavis/",,
"tomdavis","Davis, Thomas M.","R"," Virginia","VA",11,"http://house.gov/tomdavis/",,
"deal","Deal, Nathan","R"," Georgia","GA",10,"http://www.house.gov/deal/","gov.house.www/deal",
"defazio","DeFazio, Peter","D"," Oregon","OR",4,"http://house.gov/defazio/index.htm","gov.house.www/defazio","gov.house.defazio"
"degette","DeGette, Diana","D"," Colorado","CO",1,"http://house.gov/degette/","gov.house.www/degette",
"delahunt","Delahunt, Bill","D"," Massachusetts","MA",10,"http://house.gov/delahunt/","gov.house.www/delahunt",
"delauro","DeLauro, Rosa L.","D"," Connecticut","CT",3,"http://www.house.gov/delauro/","gov.house.www/delauro",
"tomdelay","DeLay, Tom","R"," Texas","TX",22,"http://tomdelay.house.gov/","gov.house.tomdelay",
"demint","DeMint, Jim","R"," South Carolina","SC",4,"http://demint.house.gov/","gov.house.demint",
"deutsch","Deutsch, Peter","D"," Florida","FL",20,"http://house.gov/deutsch/","gov.house.www/deutsch",
"diaz-balart","Diaz-Balart, Lincoln","R"," Florida","FL",21,"http://house.gov/diaz-balart/","gov.house.www/diaz-balart",
"mariodiaz-balart","Diaz-Balart, Mario","R"," Florida","FL",25,"http://www.house.gov/mariodiaz-balart/",,
"dicks","Dicks, Norm","D"," Washington","WA",6,"http://house.gov/dicks/","gov.house.www/dicks",
"dingell","Dingell, John D.","D"," Michigan","MI",15,"http://house.gov/dingell/","gov.house.www/dingell",
"doggett","Doggett, Lloyd","D"," Texas","TX",10,"http://house.gov/doggett/","gov.house.www/doggett",
"dooley","Dooley, Cal","D"," California","CA",20,"http://dooley.house.gov/","gov.house.dooley",
"doolittle","Doolittle, John T.","R"," California","CA",4,"http://house.gov/doolittle/","gov.house.www/doolittle",
"doyle","Doyle, Mike","D"," Pennsylvania","PA",14,"http://house.gov/doyle/","gov.house.www/doyle",
"dreier","Dreier, David","R"," California","CA",26,"http://dreier.house.gov/","gov.house.dreier",
"duncan","Duncan, John J.","R"," Tennessee","TN",2,"http://house.gov/duncan/","gov.house.www/duncan",
"dunn","Dunn, Jennifer","R"," Washington","WA",8,"http://house.gov/dunn/","gov.house.www/dunn",
"edwardschet","Edwards, Chet","D"," Texas","TX",11,"http://house.gov/edwards/",,
"ehlers","Ehlers, Vernon J.","R"," Michigan","MI",3,"http://house.gov/ehlers/","gov.house.www/ehlers",
"emanue","Emanuel, Rahm","D"," Illinois","IL",5,"http://www.house.gov/emanuel","gov.house.www/emanuel",
"emerson","Emerson, Jo Ann","R"," Missouri","MO",8,"http://house.gov/emerson/","gov.house.www/emerson",
"engel","Engel, Eliot L.","D"," New York","NY",17,"http://house.gov/engel/","gov.house.www/engel",
"english","English, Phil","R"," Pennsylvania","PA",3,"http://www.house.gov/english/","gov.house.www/english",
"www-eshoo","Eshoo, Anna","D"," California","CA",14,"http://www-eshoo.house.gov/","gov.house.www-eshoo",
"etheridge","Etheridge, Bob","D"," North Carolina","NC",2,"http://house.gov/etheridge/","gov.house.www/etheridge",
"evans","Evans, Lane","D"," Illinois","IL",17,"http://house.gov/evans/","gov.house.www/evans",
"everett","Everett, Terry","R"," Alabama","AL",2,"http://wwwc.house.gov/everett/","gov.house.wwwc/everett","gov.house.www/everett"
"faleomavaega","Faleomavaega, Eni F. H.",," American Samoa",,,"http://house.gov/faleomavaega/","gov.house.www/faleomavaega",
"farr","Farr, Sam","D"," California","CA",17,"http://house.gov/farr/","gov.house.www/farr",
"fattah","Fattah, Chaka","D"," Pennsylvania","PA",2,"http://house.gov/fattah/","gov.house.www/fattah",
"feeney","Feeney, Tom","R"," Florida","FL",24,"http://www.house.gov/feeney/",,
