"short id","full name","party","state","state","canonical URL","url1","url2",
"murkowski","Murkowski, Lisa","R","Alaska","AK","http://murkowski.senate.gov/","gov.senate.murkowski","gov.senate.www/~murkowski",
"murray","Murray, Patty","D","Washington","WA","http://murray.senate.gov/","gov.senate.www/~murray","gov.senate.murray",
"bennelson","Nelson, Ben","D","Nebraska","NE","http://bennelson.senate.gov/","gov.senate.www/~bennelson","gov.senate.bennelson",
"billnelson","Nelson, Bill","D","Florida","FL","http://billnelson.senate.gov/","gov.senate.billnelson","gov.senate.www/~billnelson",
"nickles","Nickles, Don","R","Oklahoma","OK","http://nickles.senate.gov/","gov.senate.www/~nickles","gov.senate.nickles",
"pryor","Pryor, Mark","D","Arkansas","AR","http://pryor.senate.gov","gov.senate.www/~pryor","gov.senate.pryor",
"reid","Reid, Harry","D","Nevada","NV","http://reid.senate.gov/","gov.senate.www/~reid","gov.senate.reid",
"roberts","Roberts, Pat","R","Kansas","KS","http://roberts.senate.gov/","gov.senate.www/~roberts","gov.senate.roberts",
"rockefeller","Rockefeller, Jay","D","West Virginia","WV","http://rockefeller.senate.gov/","gov.senate.rockefeller","gov.senate.www/~rockefeller",
"santorum","Santorum, Rick","R","Pennsylvania","PA","http://santorum.senate.gov/","gov.senate.santorum",,
"sarbanes","Sarbanes, Paul S.","D","Maryland","MD","http://sarbanes.senate.gov/","gov.senate.www/~sarbanes","gov.senate.sarbanes",
"schumer","Schumer, Charles E.","D","New York","NY","http://schumer.senate.gov/","gov.senate.www/~schumer","gov.senate.schumer",
"sessionsjeff","Sessions, Jeff","R","Alabama","AL","http://sessions.senate.gov/","gov.senate.sessions",,
"shelby","Shelby, Richard C.","R","Alabama","AL","http://shelby.senate.gov/","gov.senate.www/~shelby","gov.senate.shelby",
"gsmith","Smith, Gordon H.","R","Oregon","OR","http://gsmith.senate.gov/","gov.senate.www/~gsmith","gov.senate.gsmith",
"snowe","Snowe, Olympia J.","R","Maine","ME","http://snowe.senate.gov/","gov.senate.www/~snowe","gov.senate.snowe",
"specter","Specter, Arlen","D","Pennsylvania","PA","http://www.senate.gov/~specter/","gov.senate.www/~specter","gov.senate.specter",
"stabenow","Stabenow, Debbie","D","Michigan","MI","http://stabenow.senate.gov/","gov.senate.stabenow",,
"stevens","Stevens, Ted","R","Alaska","AK","http://stevens.senate.gov/","gov.senate.www/~stevens","gov.senate.stevens",
"talent","Talent, James","R","Missouri","MO","http://talent.senate.gov/","gov.senate.talent",,
"thomas","Thomas, Craig","R","Wyoming","WY","http://thomas.senate.gov/","gov.senate.www/~thomas","gov.senate.thomas",
"voinovich","Voinovich, George V.","R","Ohio","OH","http://voinovich.senate.gov/","gov.senate.www/~voinovich","gov.senate.voinovich",
"warner","Warner, John","R","Virginia","VA","http://warner.senate.gov/","gov.senate.www/~warner","gov.senate.warner",
"wyden","Wyden, Ron","D","Oregon","OR","http://wyden.senate.gov/","gov.senate.wyden","gov.senate.www/~wyden",
